Pouvoir,Description,Valeur,Cout
Annihilation de pouvoir,Désactive tout pouvoir en cours d'activation de l'adversaire,6,1
Annihilation de pouvoir,Désactive tout pouvoir en cours d'activation de l'adversaire,6,1
Anticipation,"En cas de victoire, l'adversaire jouera sa carte en premier au prochain tour.",6,1
Anticipation,"En cas de victoire, l'adversaire jouera sa carte en premier au prochain tour.",6,1
Anticipation,"En cas de victoire, l'adversaire jouera sa carte en premier au prochain tour.",6,1
Attaque surprise,"Si le joueur attaque, il peut choisir la carte que son adversaire va jouer parmi celles disponibles.",4,1
Attaque surprise,"Si le joueur attaque, il peut choisir la carte que son adversaire va jouer parmi celles disponibles.",4,1
Bataille épique,L'attaquant puis le défenseur rajoutent chacun une carte de leur pyramide à la bataille en cours. L'attaquant décide le cas échéant à quelles cartes adverses sont affectés les pouvoirs de ses cartes.,8,1
Bataille épique,L'attaquant puis le défenseur rajoutent chacun une carte de leur pyramide à la bataille en cours. L'attaquant décide le cas échéant à quelles cartes adverses sont affectés les pouvoirs de ses cartes.,8,1
Camouflage,L'attaquant ne divulgue pas la couleur de sa carte,8,1
Camouflage,L'attaquant ne divulgue pas la couleur de sa carte,8,1
Camouflage,L'attaquant ne divulgue pas la couleur de sa carte,8,1
Clairvoyance,"En cas de victoire, cette carte reste sur le côté pendant X*3 tours. Pendant ce temps, les pouvoirs 'Mine de rien' et 'Pas si fort que ça' sont inactifs.",6,X
Clairvoyance,"En cas de victoire, cette carte reste sur le côté pendant X*3 tours. Pendant ce temps, les pouvoirs 'Mine de rien' et 'Pas si fort que ça' sont inactifs.",6,X
Commandant,La carte ne bloque pas les cartes qu'elle touche,4,1
Commandant,La carte ne bloque pas les cartes qu'elle touche,4,1
Commandant,La carte ne bloque pas les cartes qu'elle touche,4,1
Coup critique,"Si la carte est attaquante, l'adversaire ne prend pas du tout en compte sa valeur d'attaque dans son total de défense. De plus, les pouvoirs 'Rispote' et 'Soutien' sont inactifs.",10,1
Coup critique,"Si la carte est attaquante, l'adversaire ne prend pas du tout en compte sa valeur d'attaque dans son total de défense. De plus, les pouvoirs 'Rispote' et 'Soutien' sont inactifs.",10,1
Coup critique,"Si la carte est attaquante, l'adversaire ne prend pas du tout en compte sa valeur d'attaque dans son total de défense. De plus, les pouvoirs 'Rispote' et 'Soutien' sont inactifs.",10,1
Divination,"En cas de victoire, l'adversaire devra jouer ses X prochaines cartes en premier et face visible. Si le joueur perd un combat alors que la carte divination est active, celle-ci est défaussée, et les tours restants sont perdus.",10,X
Divination,"En cas de victoire, l'adversaire devra jouer ses X prochaines cartes en premier et face visible. Si le joueur perd un combat alors que la carte divination est active, celle-ci est défaussée, et les tours restants sont perdus.",10,X
Espion,"Si le joueur attaque, et qu'il gagne ou ne perd pas de plus de 10 points le combat, il peut décider de laisser son espion se faire capturer. En retour, il pourra révéler autant de cartes de l'adversaire que le coût payé en points (X)",8,X
Espion,"Si le joueur attaque, et qu'il gagne ou ne perd pas de plus de 10 points le combat, il peut décider de laisser son espion se faire capturer. En retour, il pourra révéler autant de cartes de l'adversaire que le coût payé en points (X)",8,X
Immunité,Les pouvoirs de la carte adverse ne peuvent pas être activés (les points mis en jeu sont retournés à l'adversaire),8,1
Immunité,Les pouvoirs de la carte adverse ne peuvent pas être activés (les points mis en jeu sont retournés à l'adversaire),8,1
Mine de rien,"La carte semble moins forte qu'elle ne l'est (une carte de puissance rouge apparait comme orange, et une orange apparait verte)",6,1
Mine de rien,"La carte semble moins forte qu'elle ne l'est (une carte de puissance rouge apparait comme orange, et une orange apparait verte)",6,1
Mine de rien,"La carte semble moins forte qu'elle ne l'est (une carte de puissance rouge apparait comme orange, et une orange apparait verte)",6,1
Pas si fort que ça,"La carte semble plus forte qu'elle ne l'est vraiment (une carte verte apparait orange, une orange apparait rouge)",6,1
Pas si fort que ça,"La carte semble plus forte qu'elle ne l'est vraiment (une carte verte apparait orange, une orange apparait rouge)",6,1
Pas si fort que ça,"La carte semble plus forte qu'elle ne l'est vraiment (une carte verte apparait orange, une orange apparait rouge)",6,1
Riposte,"Si la carte défend, elle ajoute sa pleine valeur d'attaque à sa valeur de défense.",8,1
Riposte,"Si la carte défend, elle ajoute sa pleine valeur d'attaque à sa valeur de défense.",8,1
Riposte,"Si la carte défend, elle ajoute sa pleine valeur d'attaque à sa valeur de défense.",8,1
Soutien,"En cas de victoire, cette carte reste sur le côté pendant les X prochains tours, et ajoute la moitié de sa valeur de Défense aux cartes jouées.",10,X
Soutien,"En cas de victoire, cette carte reste sur le côté pendant les X prochains tours, et ajoute la moitié de sa valeur de Défense aux cartes jouées.",10,X
Réorganisation,La carte peut changer de place avec l'une des cartes adjacentes.,4,1
Réorganisation,La carte peut changer de place avec l'une des cartes adjacentes.,4,1
Réorganisation,La carte peut changer de place avec l'une des cartes adjacentes.,4,1
